epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3816,1.71637,4.84631,1.62023,0.00025,0.05318,0.00017,3e-05,3.46364,6.35582,3.69116,9.996e-05,9.996e-05,9.996e-05
2,89.6591,0.99264,3.54466,1.06484,0.00036,0.08313,0.00062,0.00011,3.54465,6.46043,3.83786,0.000187633,0.000187633,0.000187633
3,104.257,0.84934,2.54435,0.95445,0.00065,0.20023,0.00114,0.00021,3.59855,6.49042,3.9163,0.000253865,0.000253865,0.000253865
4,119.344,0.86539,2.04951,0.95281,0.00072,0.22089,0.00106,0.00021,3.60515,6.5141,3.90749,0.000298655,0.000298655,0.000298655
5,135.018,0.77983,1.80309,0.94196,0.00065,0.17229,0.0012,0.00025,3.63242,6.49051,3.83306,0.000322004,0.000322004,0.000322004
6,158.616,0.78274,1.70949,0.91885,0.00051,0.1233,0.00131,0.00027,3.69582,6.74154,3.71785,0.000323912,0.000323912,0.000323912
